date,daily_score,daily_pos_count,daily_neg_count,sentiment_5dma,sentiment_vol,sentiment_momentum,sentiment_available
2008-09-09,0.10059100007022695,0,0,0.0919207626928266,0.028854624697929432,0.008670237377400344,0
2008-09-10,0.0441756659543247,0,0,0.07560767865200699,0.027998008386627155,-0.03143201269768229,0
2008-09-11,0.027990214413628367,0,0,0.06288639705738197,0.03293241353955948,-0.034896182643753604,0
2008-09-12,0.09162822642301555,0,0,0.07198874381241724,0.03342444810799322,0.019639482610598308,0
2008-09-15,0.008902556490980386,0,0,0.054657532670435195,0.03997264333879294,-0.04575497617945481,0
2008-09-16,-0.04489457984976654,0,0,0.025560416686436493,0.049896837948153645,-0.07045499653620303,0
2008-09-17,-0.01906821942784897,0,0,0.012911639610001757,0.05197116411378097,-0.03197985903785072,0
2008-09-18,-0.17617330435647688,0,0,-0.027921064144019292,0.09745923729275978,-0.1482522402124576,0
2008-09-19,-0.15866476874472807,0,0,-0.07797966317756802,0.08406214734702819,-0.08068510556716005,0
2008-09-22,-0.12093526575889102,0,0,-0.1039472276275423,0.0692655580856149,-0.01698803813134872,0
2008-09-23,-0.15452245882660756,0,0,-0.1258728034229105,0.06296398688760001,-0.028649655403697072,0
2008-09-24,-0.058545507167371086,0,0,-0.13376826097081493,0.04656154257645649,0.07522275380344384,0
2008-09-25,-0.01142262723669017,0,0,-0.10081812554685758,0.06405782203481426,0.08939549831016741,0
2008-09-26,-0.0065949966798706265,0,0,-0.0704041711338861,0.06580337951888808,0.06380917445401547,0
2008-09-29,-0.029528925883516,0,0,-0.05212290315881109,0.06075917498785976,0.022593977275295087,0
2008-09-30,-0.0876017559845242,0,0,-0.03873876259039442,0.0340738656594472,-0.048862993394129785,0
2008-10-01,-0.031670020772432174,0,0,-0.03336366531140663,0.03223862167599105,0.0016936445389744564,0
2008-10-03,-0.0132062687425873,0,0,-0.033720393612586066,0.031943661810689854,0.020514124869998766,0
